3066,4,241,9,1.107981221,649101.8519,Yarra (C),-37.8,144.98,2,2,1,1,4,8
3067,6,291,9,1.333333333,733687.7854,Yarra (C),-37.8,145,2,1,1,1,4,8
3068,17,1278,9,1.286987522,1009947.33,Yarra (C),-37.79,144.99,2,1,1,1,4,8
3070,9,709,7,1.255489022,870888.2099,Darebin (C),-37.77,145,2,1,1,2,5,9
3071,,,5,1.330670927,771032.9582,Darebin (C),-37.76,145,2,2,1,2,5,9
3072,26,1574,3,1.088872293,665561.1298,Darebin (C),-37.74,145.03,2,2,2,2,5,9
3073,,,1,0.994940202,574154.0758,Darebin (C),-37.69,145.01,2,2,2,6,9,13
3074,17,628,1,0.949908925,441911.7391,Whittlesea (C),-37.68,145.01,2,2,2,2,7,11
3075,,,5,1.043365134,465245.9677,Whittlesea (C),-37.67,145.02,2,2,2,3,6,10
3076,26,1758,9,1.137160121,428841.3978,Whittlesea (C),-37.64,145.01,2,2,2,2,5,9
3078,,,10,1.062836625,1165100,Darebin (C),-37.78,145.03,2,1,1,2,5,9
3079,14,713,2,0.95845998,1029342.411,Banyule (C),-37.77,145.04,2,1,1,1,4,8
3081,8,297,6,0.916548798,547001.0417,Banyule (C),-37.75,145.05,2,1,1,2,5,9
3082,19,1260,7,0.827137546,527858.2041,Whittlesea (C),-37.67,145.06,2,2,2,2,2,2
3083,18,767,9,1.034836066,547075.4717,Darebin (C),-37.7,145.07,2,1,1,2,5,9
3084,17,1306,9,1.137121212,1554161.017,Banyule (C),-37.74,145.09,2,1,1,2,5,9
3085,,,7,1.031944444,743936.2903,Banyule (C),-37.73,145.07,2,1,1,2,5,1
3086,,,,,,Darebin (C),-37.72,145.05,2,2,2,1,1,1
3087,,,9,0.936660269,646969.1919,Banyule (C),-37.71,145.08,2,1,1,2,5,9
3088,24,1275,10,0.998697917,677942.0455,Banyule (C),-37.71,145.12,2,1,1,2,1,1
3089,12,666,10,0.927966102,634110.1485,Nillumbik (S),-37.64,145.22,2,1,1,0,0,0
3090,,,10,1.11,745625,Nillumbik (S),-37.67,145.12,2,1,1,4,8,12
3091,1,120,10,0.962406015,,Nillumbik (S),-37.64,145.13,2,1,1,14,14,14
3093,,,9,0.88209607,705831.25,Banyule (C),-37.73,145.09,2,1,1,2,5,1
3094,,,10,1.048319328,708501.4368,Banyule (C),-37.72,145.12,2,1,1,2,5,1
3095,19,1274,9,0.965467626,729774.2806,Nillumbik (S),-37.71,145.15,2,1,1,1,1,1
3096,,,10,0.84939759,573750,Nillumbik (S),-37.67,145.19,2,1,1,0,0,0
3097,2,58,9,1.221238938,669875,Nillumbik (S),-37.7,145.28,2,1,1,1,4,0
3099,,,10,0.991620112,600750,Nillumbik (S),-37.59,145.22,2,1,1,0,0,0
3101,25,1535,10,1.103752759,1522277.172,Boroondara (C),-37.81,145.04,2,1,1,1,4,8
3102,,,10,1.125284738,1933250,Boroondara (C),-37.8,145.05,2,1,1,1,4,0
3103,9,574,10,0.983050847,1491726.899,Boroondara (C),-37.81,145.08,2,1,1,1,1,9
3104,12,658,8,1.064535956,1650164.56,Boroondara (C),-37.79,145.07,2,1,1,1,1,1
3105,9,468,10,1,1051103.659,Manningham (C),-37.77,145.08,2,1,1,1,1,1
3106,7,371,9,0.954901961,1147380.157,Manningham (C),-37.77,145.12,2,1,1,1,1,1
3107,9,399,9,1.148809524,1017395.233,Manningham (C),-37.76,145.1,2,1,1,1,1,1
3108,11,495,9,0.969730942,885948.2042,Manningham (C),-37.78,145.12,2,1,1,2,5,9
3109,23,1146,10,0.907738095,1024129.006,Manningham (C),-37.81,145.19,2,1,1,2,5,9
3111,,,10,1.031290743,889455.8824,Manningham (C),-38.18,144.47,2,1,1,0,0,0
3113,,,10,1.072072072,888125,Nillumbik (S),-37.73,145.22,2,1,1,3,3,3
3114,5,250,10,1.084592145,1282500,Manningham (C),-37.78,145.21,2,1,1,0,0,0
3115,2,67,8,0.860795455,847750,Manningham (C),-37.74,145.27,2,1,1,1,1,1
3116,5,364,8,0.96485623,614620.1705,Yarra Ranges (S),-37.75,145.33,2,1,1,2,5,9
3121,17,1131,10,1.189580318,927679.5455,Yarra (C),-37.83,145.01,2,1,1,1,4,8
3122,11,592,10,1.155373832,1035701.172,Boroondara (C),-37.84,145.05,2,1,1,2,5,9
3123,8,585,10,1.109872611,1135194.813,Boroondara (C),-37.83,145.04,2,1,1,1,4,8
3124,12,803,8,1.147924528,1523469.553,Boroondara (C),-37.82,145.06,2,1,1,2,5,9
3125,11,689,10,1.047540984,973739.6953,Monash (C),-37.84,145.12,2,1,1,2,5,9
3126,,,10,1.005226481,2095980.172,Boroondara (C),-37.84,145.09,2,1,1,1,1,9
3127,12,775,8,1.068683565,1304515.805,Whitehorse (C),-37.82,145.1,2,1,1,1,1,1
3128,13,616,9,1.112160567,750561.5079,Whitehorse (C),-37.82,145.12,2,1,1,2,5,9
3129,,,9,1.103301384,981613.0952,Whitehorse (C),-37.8,145.13,2,1,1,2,5,9
3130,26,1644,8,1.111774281,972325.7547,Whitehorse (C),-37.82,145.15,2,1,1,2,5,9
3131,12,814,9,1.058469475,819020.0617,Whitehorse (C),-37.84,145.18,2,1,1,2,5,9
3132,10,650,9,1.110677083,810613.9144,Whitehorse (C),-37.82,145.19,2,1,1,2,5,9
3133,17,909,8,1.05278174,837593.5526,Maroondah (C),-37.84,145.19,2,1,1,2,5,9
3134,25,1300,8,1.025062657,663630.4054,Maroondah (C),-37.81,145.23,2,1,1,2,5,9
3135,18,1050,8,1.051397656,745338.6943,Maroondah (C),-37.82,145.25,2,1,1,4,7,11
3136,,,6,0.977849376,600047.3338,Maroondah (C),-37.8,145.28,2,2,1,4,7,11
